Rank,Name,Team,Pos,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,FantPt,PosRank
195,Devin Funchess,CAR,WR,22,15,7,0,0,0,0,0,0,0,,0,58,23,371,16.13,4,63.0,80
196,Vance McDonald,SFO,TE,26,11,11,0,0,0,0,0,0,0,,0,45,24,391,16.29,4,63.0,24
197,Thomas Rawls,SEA,RB,23,9,7,0,0,0,0,0,109,349,3.2,3,17,13,96,7.38,0,63.0,57
198,Cordarrelle Patterson*+,MIN,WR,25,16,8,0,0,0,0,0,7,43,6.14,0,70,52,453,8.71,2,62.0,82
199,Paul Perkins,NYG,RB,22,14,1,0,0,0,0,0,112,456,4.07,0,24,15,162,10.8,0,62.0,58
200,Marquise Goodwin,BUF,WR,26,15,9,0,0,0,0,0,0,0,,0,68,29,431,14.86,3,61.0,84
201,Kendall Wright,TEN,WR,27,11,4,0,0,0,0,0,1,15,15.0,0,42,29,416,14.34,3,61.0,83
202,Corey Coleman,CLE,WR,22,10,10,0,0,0,0,0,2,10,5.0,0,73,33,413,12.52,3,60.0,85
203,Lance Kendricks,LAR,TE,28,16,16,0,0,0,0,0,0,0,,0,87,50,499,9.98,2,60.0,25
204,Rex Burkhead,CIN,RB,26,16,1,0,0,0,0,0,74,344,4.65,2,20,17,145,8.53,0,59.0,59
205,Sammie Coates,PIT,WR,23,14,5,0,0,0,0,0,4,14,3.5,0,49,21,435,20.71,2,57.0,87
206,Jermaine Kearse,SEA,WR,26,16,15,0,0,0,0,0,0,0,,0,89,41,510,12.44,1,57.0,86
207,Matt Moore,MIA,QB,32,4,3,55,87,721,8,3,1,-1,-1.0,0,0,0,0,,0,57.0,36
208,Jesse James,PIT,TE,22,16,13,0,0,0,0,0,0,0,,0,60,39,338,8.67,3,56.0,26
209,Sammy Watkins,BUF,WR,23,8,8,0,0,0,0,0,0,0,,0,52,28,430,15.36,2,55.0,88
210,Travaris Cadet,NOR,RB,27,15,1,0,0,0,0,0,4,19,4.75,0,54,40,281,7.03,4,54.0,61
211,Ryan Griffin,HOU,TE,26,16,5,0,0,0,0,0,0,0,,0,74,50,442,8.84,2,54.0,27
212,Jeremy Langford,CHI,RB,25,12,3,0,0,0,0,0,62,200,3.23,4,27,19,142,7.47,0,54.0,60
213,Clive Walford,OAK,TE,25,15,8,0,0,0,0,0,0,0,,0,52,33,359,10.88,3,54.0,28
214,Chris Conley,KAN,WR,24,16,11,0,0,0,0,0,0,0,,0,69,44,530,12.05,0,53.0,89
215,Jared Goff,LAR,QB,22,7,7,112,205,1089,5,7,8,16,2.0,1,0,0,0,,0,53.0,37
216,Nelson Agholor,PHI,WR,23,15,14,0,0,0,0,0,5,14,2.8,0,69,36,365,10.14,2,52.0,90
217,Josh McCown,CLE,QB,37,5,3,90,165,1100,6,6,7,21,3.0,0,0,0,0,,0,52.0,38
218,Julius Thomas,JAX,TE,28,9,6,0,0,0,0,0,0,0,,0,51,30,281,9.37,4,52.0,29
219,Garrett Celek,SFO,TE,28,16,6,0,0,0,0,0,0,0,,0,50,29,350,12.07,3,51.0,31
